Subject,Channel,Bs,SNR-Diff,PSNR-Diff,RMSE,Corr,MI,BPPE_Delta,MSC_Delta,BPPE_Theta,MSC_Theta,BPPE_Alpha,MSC_Alpha,BPPE_Beta,MSC_Beta,BPPE_Gamma,MSC_Gamma,EvalMode,N_Trials
sub-1,C5,16,-78.33835078870945,-1.2463993333856926,5.484508550628812e-06,0.9166347247036496,1.244769998492221,0.0671620509526653,0.8977590219854136,0.0134795123531617,0.4128030368353408,0.0379192056852179,0.4638564582211767,0.0009974665395186,0.6535917479934386,0.0417248910810905,0.8065039862302861,real-erp,160
sub-1,C5,18,-78.33835078870945,-1.1099376911769472,5.434962621142661e-06,0.9182135141131216,1.258247253573658,0.0661287381290569,0.8958054830857278,0.012709957566421,0.4258363541250881,0.0351771360932386,0.4685830388361515,0.0025757906674647,0.6640046106689801,0.0410857689347745,0.8129918001152838,real-erp,160
sub-1,C6,4,1.308750698775189,-1.840592007408378,7.336921183367746e-06,0.8778112219166274,0.8827860957897435,0.0639737805703449,0.9319699361867964,0.0169089583004659,0.4359345628667683,0.014369328457502,0.3421413491201642,0.0033478208006068,0.6364184008670725,0.0985998881289199,0.7730068015242955,real-erp,160
sub-1,C6,6,1.4597149395377826,-1.4854318460270068,7.079785610618884e-06,0.8874281255626613,0.9305961833506748,0.06186879895529,0.9381367902859112,0.0163400256505219,0.4719225948702382,0.0095375559326964,0.387603263779871,0.0067466545360346,0.6680598263146182,0.0944930350745431,0.7881440885981708,real-erp,160
sub-1,C6,8,1.3995103993099711,-1.7625970015557415,6.911561649599926e-06,0.8932006638326381,0.9648513490686922,0.0587127663909295,0.936873693646105,0.0159143451993906,0.5040215718823571,0.0129958481518392,0.4248286768488929,0.0073922048312255,0.688828449055499,0.0950151645733851,0.7971050087241103,real-erp,160
sub-1,C6,10,1.3209528877673762,-1.3127690192467618,6.737094256494373e-06,0.8989197249398411,0.9935414467488924,0.0569671197167639,0.9404429503441482,0.0146680943204865,0.513571321725407,0.0092124979471217,0.4383299903621164,0.0099039181035713,0.7092777328852058,0.0907516300879436,0.8081886512439919,real-erp,160
sub-1,C6,12,1.320864003555794,-1.3189742217316809,6.607214241407538e-06,0.9031258208122632,1.0191642988368848,0.053259396090939,0.944874040405654,0.0142453347317492,0.5432418130974066,0.014411645869108,0.4718073226141713,0.0081763373818375,0.7253247580935488,0.0900927140736339,0.8144210105877834,real-erp,160
sub-1,C6,14,1.3816599526653697,-1.7761471252566547,6.5262864245019386e-06,0.9053819549139476,1.0358482904990072,0.051501394073225,0.9458751881988888,0.0143341186582998,0.564481765045705,0.013376136239811,0.4757406096229154,0.0100128354689537,0.727835225933823,0.0892244844402898,0.816641691879996,real-erp,160
sub-1,C6,16,1.287469527636155,-1.2883435686468232,6.407059526352472e-06,0.9093300623325228,1.0549068018215817,0.0513071325805634,0.9509531085701006,0.0131050384299477,0.5812431285190542,0.0180863087316247,0.4953582746358443,0.0058649801203063,0.7505970148045022,0.0883634598624424,0.8214983365239916,real-erp,160
sub-1,C6,18,1.327393680137753,-1.1289713267014925,6.344059150483682e-06,0.9112791330667837,1.0671273692693757,0.0512712880383655,0.951219643871414,0.0121038057702562,0.5964244780240792,0.0163190990372054,0.5089117004143183,0.0087541439860026,0.7524895022885806,0.08844833683183,0.8243445186351883,real-erp,160
sub-1,CPz,4,-82.98684764243558,-0.6348250630834311,3.3743375811948225e-06,0.8973454726227199,1.0294050236190642,0.0986527377806847,0.9284136141120192,0.010146803045376,0.575364057820055,0.0939918107965086,0.6047434086464417,0.0087720754635846,0.6288049670126882,0.0235798054931368,0.8044887181081833,real-erp,160
sub-1,CPz,6,-82.98684764243558,-0.1478899840084686,3.27823343091654e-06,0.9033727638341272,1.0893201546219735,0.0882204375059674,0.9334992114186246,0.0089666780168884,0.5878230682630521,0.0815800451199455,0.6249877312554075,0.007822199935915,0.6600577662198098,0.0234292703388253,0.8153266006994485,real-erp,160
sub-1,CPz,8,-82.98684764243558,-0.2399220479100989,3.151706776883581e-06,0.911191221263209,1.1273149475627218,0.0847729597380826,0.93748251064572,0.0085927713341093,0.6295192492181522,0.0780808709741399,0.659572838201018,0.0079515300892733,0.6803123672966441,0.0232363901873253,0.8213759755225096,real-erp,160
sub-1,CPz,10,-82.98684764243558,-0.5833710885372838,3.084378503450014e-06,0.9152003791464316,1.1584359450903796,0.0832732401281141,0.9402601846566744,0.0075239410855197,0.6466939194789691,0.0741332911018548,0.6735754813309878,0.0062033820358083,0.6999044896266775,0.0228672721475873,0.8249337765957359,real-erp,160
sub-1,CPz,12,-82.98684764243558,-0.2537839987868455,3.0549294828502006e-06,0.9168514113244164,1.1772082045000996,0.0789910500992184,0.941556839815928,0.0081447066787758,0.6563071690826192,0.0713464116358914,0.6837362848207604,0.0072403681638762,0.704430857871052,0.0230297133059791,0.8301245352237172,real-erp,160
sub-1,CPz,14,-82.98684764243558,-0.3457958221626214,3.030236516484452e-06,0.918200040171537,1.1953038443909425,0.0749300563590144,0.9436314420968582,0.0083189747959614,0.6692773823826211,0.0679282983692192,0.6829772641371916,0.0083202008812802,0.7097929100283826,0.0236409336670367,0.8353419332201183,real-erp,160
sub-1,CPz,16,-82.98684764243558,-0.4830125526903224,2.941717721192767e-06,0.9232440203336424,1.2163910437805243,0.0734942111225018,0.9460225474857216,0.0082390447779334,0.6789436672491725,0.0628024733027364,0.7082349327784547,0.0052689321210947,0.7226101110353222,0.0241997147187934,0.8399384703095516,real-erp,160
sub-1,CPz,18,-82.98684764243558,-0.4628468695775485,2.908568281469604e-06,0.924913543979906,1.2410685074372878,0.0663187534397134,0.9448766145865058,0.0079584148876212,0.6841915944699832,0.0547256095020393,0.7190115733938949,0.0048461083196365,0.7334047292506928,0.0243976671449318,0.8429381750617277,real-erp,160
sub-1,Cz,4,1.097617305696792,-1.0580489797708532,3.608068026596169e-06,0.8522388783810662,1.1168463617574276,0.0598141037714719,0.952744681215248,0.0167132350688785,0.5954533607185304,0.0616801931363285,0.5059425688034961,0.0210545225989155,0.6170346946371836,0.0359016683029376,0.8200731869456668,real-erp,160
sub-1,Cz,6,1.0420979276584532,-0.9261652015415588,3.44094819602392e-06,0.8665265767114172,1.2030023500293223,0.0547077360930587,0.952466066422104,0.0168100982423742,0.6243391502446438,0.0560386455386061,0.5467797802536382,0.0189581719879978,0.6489011235468665,0.0344373607848248,0.8356838199897261,real-erp,160
sub-1,Cz,8,1.1817972574791042,-1.0242898008149632,3.358806251257588e-06,0.8731869205754857,1.2503033376950112,0.0550631857448136,0.9576872488142132,0.0151808097716581,0.6597175228321615,0.0545018812990596,0.5555550133472246,0.0178835781184527,0.665872548270838,0.0336256923358648,0.8409109597976279,real-erp,160
sub-1,Cz,10,1.1512729407344209,-1.1441327658340352,3.273913329447027e-06,0.8799034043017588,1.2860867641311662,0.0538527587147215,0.9615909623410698,0.0159349139182429,0.6737057510952413,0.0551619952267328,0.586765261537954,0.0186040867906307,0.6852131036198823,0.0332297641968623,0.8487512224368778,real-erp,160
sub-1,Cz,12,1.132911499372554,-1.0513473944564886,3.227228018399599e-06,0.8835185707222489,1.3207020339182498,0.0533753363378605,0.9610981781037096,0.0167390841919487,0.6886698989743322,0.0563591537285466,0.5936796235834844,0.0180342471609918,0.6936564940643573,0.0317895139622544,0.8546575220958754,real-erp,160
sub-1,Cz,14,1.076205069597652,-1.026232620172702,3.169379165304924e-06,0.8879275560346757,1.3527956966397223,0.0488661529742838,0.963850658805721,0.0148397105777858,0.7127596400707179,0.0484893185687043,0.6059411492192308,0.017936628462289,0.7035586991918089,0.0331531734456545,0.8600721609093547,real-erp,160
sub-1,Cz,16,1.096379443092104,-1.0379636671112102,3.125033358823989e-06,0.8912215278077177,1.373586354996361,0.048465134806215,0.9631295348508508,0.0166204761651347,0.7110864045872136,0.0459366661596608,0.6152902754070679,0.0141439582746359,0.718510314581897,0.0332929030863252,0.8649589668049951,real-erp,160
sub-1,Cz,18,1.1764344269647449,-1.1699081440341912,3.082962699748778e-06,0.8943114170155988,1.4042734833031472,0.0443551431812097,0.9653684962707414,0.0152731648550826,0.7140368541480543,0.0408507281952603,0.6303939993568347,0.0151860225971952,0.7187076305989385,0.0339636024382273,0.8691277568433454,real-erp,160
sub-1,F3,4,1.298281159831994,-0.9498056134316002,5.754281065676374e-06,0.8978729918191688,1.2258889707028926,0.0954186894669398,0.942976047379976,0.0122984241932606,0.5478881821800561,0.0565534827962995,0.5058692074626455,0.0096683437491928,0.6789585285587795,0.0414952871147078,0.8080581704097713,real-erp,160
