Subject,Channel,Method,SNR-Diff,PSNR-Diff,RMSE,Corr,MI,BPPE_Delta,MSC_Delta,BPPE_Theta,MSC_Theta,BPPE_Alpha,MSC_Alpha,BPPE_Beta,MSC_Beta,BPPE_Gamma,MSC_Gamma,EvalMode,N_Trials
sub-1,P3,ASR_offline_13,1.8005564587297729,-1.0658618709562706,5.495094019476036e-06,0.7629859388906586,0.7709775076263089,0.047595583671653,0.71334468956483,0.0135273479962884,0.8717531421043951,0.0966648400339179,0.9737580600238888,0.0048482024207859,0.6915122200157696,0.0577484019377673,0.3579155375920631,real-erp,160.0
sub-1,P4,ASR_offline_13,5.422082032426809,-2.995496460885194,1.0241850153965403e-05,0.6106594074107727,0.5014472636455922,0.0211678077545514,0.675289308692454,0.0206009927250652,0.8124843740198711,0.1679728971296547,0.956249399737277,0.0274433320065072,0.5609204874097249,0.1822983656027642,0.2841806635765221,real-erp,160.0
sub-1,P7,ASR_offline_13,5.1488722459444975,-5.311712793555368,1.3688483625386076e-05,0.5345344469956863,0.2978104769184237,0.0455024511794662,0.643874537847739,0.03135021588219,0.8248449871412507,0.1103161983345177,0.9264267953718964,0.0235454972366792,0.5402631177735007,0.1636233681594948,0.2880165769282165,real-erp,160.0
sub-1,P8,ASR_offline_13,5.784879603458839,-4.299802914563035,1.6075386719512317e-05,0.5112676502537901,0.3444646327765183,0.0567851853732813,0.467378753661566,0.0298564701099388,0.6898778253696688,0.1821786677871478,0.8790195473067002,0.0485314373905026,0.3924531736539675,0.2202888858798656,0.1750935135641157,real-erp,160.0
sub-1,P9,ASR_offline_13,0.5890112520016615,-0.5090790097722611,7.723241929989841e-06,0.7812972054526169,0.8464097805992505,0.0937369091570448,0.7055774935720877,0.0243793385071177,0.8507542663069945,0.0512156761874263,0.9499231717953156,0.0194114882769538,0.8204006415631205,0.0012695938144532,0.6463519796769089,real-erp,160.0
sub-1,PO3,ASR_offline_13,0.8596029264162928,-0.3117927652720986,6.0887636912625325e-06,0.8484429883980434,1.1335077651450416,0.0618102238846151,0.7353450788325436,0.007756362711819,0.865843820686957,0.0634899674408294,0.981499341478848,0.004845744002359,0.8183747432364089,0.0142818502703922,0.5392856818529742,real-erp,160.0
sub-1,PO4,ASR_offline_13,2.9829614430490032,-1.9415598414269737,9.876546882122124e-06,0.7566500905627072,0.7798458706188497,0.027611245079728,0.716327808944228,0.0124448574089766,0.8232220980793057,0.0826591838471876,0.9711497646789448,0.0026222579530197,0.6448645302231834,0.0648705382234165,0.2686037245974713,real-erp,160.0
sub-1,PO7,ASR_offline_13,4.909678724640862,-3.567219110984264,1.3868897077544749e-05,0.6154393163657292,0.4364289084536445,0.0107171298576049,0.6017818566022123,0.0224970715790722,0.7730294302537959,0.1539930457061236,0.9286581703330716,0.0379798339607186,0.470413306251743,0.1492274131820822,0.2393361841825186,real-erp,160.0
sub-1,PO8,ASR_offline_13,6.551962385392889,-5.464954293610939,2.2969870226489007e-05,0.4777151714545164,0.3158283016534602,0.068944423497266,0.4787016333423872,0.0280835714005832,0.6719433501190221,0.2417208513263083,0.90538000000962,0.0563489342687255,0.3706867736635367,0.2823999119554322,0.1665695622398058,real-erp,160.0
sub-1,Pz,ASR_offline_13,0.8047710670829478,-0.8476355115635084,3.8594312745321455e-06,0.9068495559341748,1.4617888874159244,0.0603766411195371,0.7675113903746237,0.0074376742129471,0.9157119485980756,0.0686834746460366,0.9892736270018894,0.0023319854066203,0.8307253665305453,0.0180764931460669,0.4416851550722013,real-erp,160.0
